TestName,Vertices,Edges,Time,PathLength,FoundPath,Iterations,PathSequence
test_0_small_5v_d30,5,4,0.0053947,8.8954,true,31,"D->E->A"
test_1_small_5v_d60,5,6,0.0055595,9.34387,true,31,"C->D->B"
test_2_small_5v_d90,5,9,0.0034905,2.4874,true,31,"C->B"
test_3_small_7v_d30,7,6,0.0065838,10.741,true,31,"G->F->E"
test_4_small_7v_d60,7,12,0.0107302,15.8337,true,31,"E->B->D->C->G"
test_5_small_7v_d90,7,18,0.0081146,6.3342,true,31,"C->E->G->A"
test_6_small_9v_d30,9,10,0.0496649,9.86757,true,127,"H->E"
test_7_small_9v_d60,9,21,0.0127001,16.7392,true,31,"A->H->C->B"
test_8_small_9v_d90,9,32,0.0090991,4.48974,true,31,"B->I->H"
test_9_small_11v_d30,11,16,0.0042766,5.77319,true,31,"E->I"
test_10_small_11v_d60,11,33,0.0069812,4.35927,true,31,"G->E"
test_11_small_11v_d90,11,49,0.0164504,9.00789,true,31,"I->K->A->B->D->G"
test_12_small_13v_d30,13,23,0.0125003,9.62878,true,31,"J->A->M->B"
test_13_small_13v_d60,13,46,0.0084913,2.57067,true,31,"A->E->I"
test_14_small_13v_d90,13,70,0.0055498,1.55198,true,31,"B->H"
test_15_small_15v_d30,15,31,0.0114077,7.17094,true,31,"K->N->A->G"
test_16_small_15v_d60,15,63,0.0140383,5.45018,true,31,"E->K->B->H"
test_17_small_15v_d90,15,94,0.021888,8.49032,true,32,"M->H->N->O->E->A"
test_18_medium_16v_d40,16,48,0.0262627,13.4134,true,31,"A->C->K->L->B->F->D->O"
test_19_medium_16v_d80,16,96,0.0090105,5.42197,true,32,"G->A"
test_20_medium_21v_d40,21,84,0.0135642,2.4893,true,31,"Q->L->C"
test_21_medium_21v_d80,21,168,0.0287279,7.65246,true,34,"A->C->S->I->O"
test_22_medium_26v_d40,26,130,0.0243183,9.4367,true,33,"R->T->P"
test_23_medium_26v_d80,26,260,0.0198327,4.59021,true,31,"G->D->K->V"
test_24_medium_31v_d40,31,186,0.0240482,6.29208,true,31,"G->F->N->K"
test_25_medium_31v_d80,31,372,0.0258485,6.02654,true,31,"B->C->E->O"
test_26_medium_36v_d40,36,252,1.59166,9.39817,true,720,"Z->V27->Y->S->T->D"
test_27_medium_36v_d80,36,504,0.0825776,8.38372,true,36,"N->V32->K->V27->V33->V28->E"
test_28_medium_41v_d40,41,328,0.0738881,12.0258,true,31,"V31->V37->V34->L->A->V28->V36->E->V41"
test_29_medium_41v_d80,41,656,1.5755,5.92879,true,820,"V32->V37"
