TestName,Vertices,Edges,Time,PathLength,FoundPath,Iterations,PathSequence
test_0_small_5v_d30,5,4,4.38e-05,2.40417,true,1,"C->E"
test_1_small_5v_d60,5,6,4.62e-05,5.30427,true,1,"E->A->B"
test_2_small_5v_d90,5,9,4.92e-05,3.8054,true,1,"E->D"
test_3_small_7v_d30,7,6,4.67e-05,12.6543,true,1,"A->E->F->G"
test_4_small_7v_d60,7,12,3.26e-05,4.53788,true,1,"C->G"
test_5_small_7v_d90,7,18,4.26e-05,2.95128,true,1,"G->A"
test_6_small_9v_d30,9,10,6.33e-05,20.6691,true,1,"G->D->H->E"
test_7_small_9v_d60,9,21,7.1e-05,4.41306,true,1,"G->I"
test_8_small_9v_d90,9,32,4.45e-05,2.66926,true,1,"I->H"
test_9_small_11v_d30,11,16,9.78e-05,22.1096,true,1,"J->F->A->E"
test_10_small_11v_d60,11,33,4.24e-05,2.33509,true,1,"F->B"
test_11_small_11v_d90,11,49,5.3e-05,4.61911,true,1,"G->E->F"
test_12_small_13v_d30,13,23,6.05e-05,13.1151,true,1,"H->E->J->C"
test_13_small_13v_d60,13,46,7.35e-05,5.63922,true,1,"E->G->L"
test_14_small_13v_d90,13,70,8.79e-05,4.33194,true,1,"C->E->H"
test_15_small_15v_d30,15,31,7.45e-05,11.9083,true,1,"O->M->G->E"
test_16_small_15v_d60,15,63,7.06e-05,3.58594,true,1,"B->J"
test_17_small_15v_d90,15,94,5.31e-05,2.41084,true,1,"L->J"
test_18_medium_16v_d40,16,48,9.66e-05,7.14621,true,1,"H->I->K"
test_19_medium_16v_d80,16,96,0.0001337,6.21203,true,1,"F->I->J"
test_20_medium_21v_d40,21,84,9.56e-05,6.01137,true,1,"U->C"
test_21_medium_21v_d80,21,168,7.47e-05,5.26762,true,1,"T->E->G"
test_22_medium_26v_d40,26,130,0.0001035,9.63252,true,1,"V->O->U->Z"
test_23_medium_26v_d80,26,260,8.3e-05,3.86943,true,1,"A->M->L"
test_24_medium_31v_d40,31,186,0.0001375,3.91062,true,1,"A->N->K"
test_25_medium_31v_d80,31,372,0.0002055,7.41033,true,1,"T->F->I"
test_26_medium_36v_d40,36,252,0.000224,11.5424,true,1,"C->F->H"
test_27_medium_36v_d80,36,504,0.0001479,3.9924,true,1,"R->V30->V34"
test_28_medium_41v_d40,41,328,0.0001251,6.21702,true,1,"C->V27"
test_29_medium_41v_d80,41,656,0.0003841,7.39353,true,1,"V36->F->H->J"
test_30_medium_46v_d40,46,414,0.0001597,9.21979,true,1,"T->Q"
test_31_medium_46v_d80,46,828,0.0001592,6.98558,true,1,"E->X->U"
test_32_big_51v_d40,51,510,0.0003928,8.48983,true,1,"Q->S->J->P->R"
test_33_big_56v_d40,56,616,0.0003588,14.0989,true,1,"E->V54->V50->V49->V53"
