TestName,Vertices,Edges,Time,PathLength,FoundPath,Iterations,PathSequence
test_0_small_5v_d30,5,4,5.97e-05,2.40417,true,1,"C->E"
test_1_small_5v_d60,5,6,5.3e-05,5.30427,true,1,"E->A->B"
test_2_small_5v_d90,5,9,4.03e-05,3.8054,true,1,"E->D"
test_3_small_7v_d30,7,6,6.68e-05,12.6543,true,1,"A->E->F->G"
test_4_small_7v_d60,7,12,9.78e-05,4.53788,true,1,"C->G"
test_5_small_7v_d90,7,18,9.39e-05,2.95128,true,1,"G->A"
test_6_small_9v_d30,9,10,6.71e-05,20.6691,true,1,"G->D->H->E"
test_7_small_9v_d60,9,21,0.0001156,4.41306,true,1,"G->I"
test_8_small_9v_d90,9,32,9.77e-05,2.66926,true,1,"I->H"
test_9_small_11v_d30,11,16,0.0001545,22.1096,true,1,"J->F->A->E"
test_10_small_11v_d60,11,33,0.0001593,2.33509,true,1,"F->B"
test_11_small_11v_d90,11,49,0.0003637,4.61911,true,1,"G->E->F"
test_12_small_13v_d30,13,23,0.0002406,13.1151,true,1,"H->E->J->C"
test_13_small_13v_d60,13,46,0.0001851,5.63922,true,1,"E->G->L"
test_14_small_13v_d90,13,70,0.0002348,4.33194,true,1,"C->E->H"
test_15_small_15v_d30,15,31,0.0005032,11.9083,true,1,"O->M->G->E"
test_16_small_15v_d60,15,63,0.0005139,3.58594,true,1,"B->J"
test_17_small_15v_d90,15,94,0.0004072,2.41084,true,1,"L->J"
test_18_medium_16v_d40,16,48,0.0003069,7.14621,true,1,"H->I->K"
test_19_medium_16v_d80,16,96,0.0003704,5.7894,true,1,"F->D->O->J"
test_20_medium_21v_d40,21,84,0.0009343,3.43309,true,1,"U->S->C"
test_21_medium_21v_d80,21,168,0.0007837,4.06583,true,1,"T->K->G"
test_22_medium_26v_d40,26,130,0.0017467,6.63933,true,1,"V->O->G->Z"
test_23_medium_26v_d80,26,260,0.0017514,3.86943,true,1,"A->M->L"
test_24_medium_31v_d40,31,186,0.0017958,3.91062,true,1,"A->N->K"
test_25_medium_31v_d80,31,372,0.0036745,2.74686,true,1,"T->V31->I"
test_26_medium_36v_d40,36,252,0.0031728,9.78003,true,1,"C->R->N->H"
test_27_medium_36v_d80,36,504,0.002817,3.9924,true,1,"R->V30->V34"
test_28_medium_41v_d40,41,328,0.0038541,4.7212,true,1,"C->I->V27"
test_29_medium_41v_d80,41,656,0.0040214,3.21286,true,1,"V36->V->J"
test_30_medium_46v_d40,46,414,0.0063612,6.51153,true,1,"T->N->V39->Q"
