Metric,OrderIndex,Algorithm,DisplayedValue,Unit
Speed,1,A*,4.34879e-05,s
Speed,2,Dijkstra,4.50827e-05,s
Speed,3,Bellman-Ford,8.3613e-05,s
Speed,4,Floyd-Warshall,0.0020523,s
Speed,5,ACO,0.692703,s
Reliability,1,A*,100,%
Reliability,2,ACO,100,%
Reliability,3,Bellman-Ford,100,%
Reliability,4,Dijkstra,100,%
Reliability,5,Floyd-Warshall,100,%
Accuracy,1,A*,100,%
Accuracy,2,Bellman-Ford,100,%
Accuracy,3,Dijkstra,100,%
Accuracy,4,Floyd-Warshall,100,%
Accuracy,5,ACO,87,%
Error,1,A*,0,%
Error,2,Bellman-Ford,0,%
Error,3,Dijkstra,-0,%
Error,4,Floyd-Warshall,0,%
Error,5,ACO,6.18327,%
