TestName,Vertices,Edges,Time,PathLength,FoundPath,Iterations,PathSequence
test_0_small_5v_d30,5,4,1.65e-06,2.40417,true,2,"B->D"
test_1_small_5v_d60,5,6,1.696e-06,7.9216,true,3,"C->B->A"
test_2_small_5v_d90,5,9,3.126e-06,1.41999,true,2,"C->A"
test_3_small_7v_d30,7,6,2.008e-06,23.7873,true,3,"E->A->B->F"
test_4_small_7v_d60,7,12,2.035e-06,5.04779,true,3,"E->D"
test_5_small_7v_d90,7,18,5.628e-06,8.00382,true,2,"A->B->G"
test_6_small_9v_d30,9,10,3.419e-06,8.92421,true,5,"I->F"
test_7_small_9v_d60,9,21,3.374e-06,5.10881,true,2,"A->C"
test_8_small_9v_d90,9,32,6.921e-06,4.13799,true,2,"C->I"
test_9_small_11v_d30,11,16,3.245e-06,13.1253,true,2,"B->D->F"
test_10_small_11v_d60,11,33,4.171e-06,3.52695,true,3,"J->G"
test_11_small_11v_d90,11,49,6.472e-06,4.92106,true,4,"F->A"
test_12_small_13v_d30,13,23,4.84e-06,9.8907,true,4,"F->G->K"
test_13_small_13v_d60,13,46,6.545e-06,7.75618,true,4,"B->L->A->F"
test_14_small_13v_d90,13,70,4.584e-06,3.46066,true,3,"G->K"
test_15_small_15v_d30,15,31,6.829e-06,3.77,true,3,"A->B"
test_16_small_15v_d60,15,63,1.0634e-05,3.56586,true,4,"I->A"
test_17_small_15v_d90,15,94,8.195e-06,4.77126,true,3,"L->K->N"
test_18_medium_16v_d40,16,48,1.0093e-05,7.97881,true,3,"A->K->G->O->E"
test_19_medium_16v_d80,16,96,7.664e-06,4.96929,true,3,"M->K"
test_20_medium_21v_d40,21,84,7.874e-06,5.94795,true,4,"P->F->O->C"
test_21_medium_21v_d80,21,168,5.931e-06,5.56732,true,4,"E->C->L"
test_22_medium_26v_d40,26,130,1.0147e-05,4.19497,true,3,"K->L"
test_23_medium_26v_d80,26,260,9.25e-06,1.26164,true,3,"L->F"
test_24_medium_31v_d40,31,186,9.872e-06,3.11601,true,4,"O->D->T"
test_25_medium_31v_d80,31,372,1.3705e-05,5.34947,true,3,"M->F->H"
test_26_medium_36v_d40,36,252,1.2925e-05,4.03064,true,4,"V29->I->Y"
test_27_medium_36v_d80,36,504,1.5125e-05,4.2297,true,4,"F->Y->P"
test_28_medium_41v_d40,41,328,1.3237e-05,5.18152,true,3,"A->H"
test_29_medium_41v_d80,41,656,1.9168e-05,3.79451,true,4,"V27->V38->H"
test_30_medium_46v_d40,46,414,1.7912e-05,5.03277,true,4,"I->C"
test_31_medium_46v_d80,46,828,2.1845e-05,4.21151,true,5,"V38->M->V43->I"
test_32_big_51v_d40,51,510,2.9802e-05,4.53104,true,4,"W->V39->G"
test_33_big_56v_d40,56,616,2.7445e-05,4.20339,true,4,"J->V46->V->G"
test_34_big_61v_d40,61,732,2.4476e-05,4.66708,true,4,"D->U->V34"
test_35_big_66v_d40,66,858,3.1424e-05,4.03515,true,4,"L->V53->V50->V47"
test_36_big_71v_d40,71,994,3.1974e-05,4.77598,true,4,"V36->V70->X"
