ScopeType,ScopeValue,Algorithm,Tests,Successful,SuccessRate,AvgTime,MedianTime,StdTime,MinTime,MaxTime,AvgPathLength,MedianPathLength,StdPathLength,MinPathLength,MaxPathLength,AvgIterations,MedianIterations,StdIterations,MinIterations,MaxIterations,ComparableTests,OptimalMatches,OptimalityRate,AvgRelativeErrorPct,MaxRelativeErrorPct,AvgExcessLength,AvgTimeRatioVsDijkstra,MedianTimeRatioVsDijkstra
Overall,All,ACO,100,100,100,0.696061,0.00462077,1.33377,0.000184852,6.83159,8.67572,4.65663,10.4165,1.26164,63.5271,42.4,24.5,27.458,21,102,100,83,83,11.8299,220.305,1.04441,7709.26,757.368
Overall,All,Dijkstra,100,100,100,4.70299e-05,8.4415e-06,7.34542e-05,1.925e-06,0.000336966,7.63131,4.53538,9.23438,1.26164,63.5271,1,1,0,1,1,100,100,100,0,0,0,1,1
Overall,All,A*,100,100,100,4.4186e-05,8.827e-06,6.45535e-05,2.14e-06,0.000271242,7.63131,4.53538,9.23438,1.26164,63.5271,1,1,0,1,1,100,100,100,0,0,0,1.14064,1.08952
Overall,All,Floyd-Warshall,100,100,100,0.00211016,7.07365e-05,0.00345551,3.273e-06,0.0159883,7.63131,4.53538,9.23438,1.26164,63.5271,1,1,0,1,1,100,100,100,0,0,0,31.0651,11.0804
Size,Small(5-15),ACO,32,32,100,0.000755665,0.000556567,0.000554797,0.000184852,0.00248227,9.39051,7.27628,8.26888,1.41999,39.4356,23.5938,21,8.18482,21,66,32,25,78.125,14.9473,204.862,0.859063,228.038,195.77
Size,Small(5-15),Dijkstra,32,32,100,3.28316e-06,2.9065e-06,1.15564e-06,1.925e-06,6.243e-06,8.53145,5.26777,8.03704,1.41999,39.4356,1,1,0,1,1,32,32,100,0,0,0,1,1
Size,Small(5-15),A*,32,32,100,4.21097e-06,3.747e-06,1.70358e-06,2.14e-06,8.969e-06,8.53145,5.26777,8.03704,1.41999,39.4356,1,1,0,1,1,32,32,100,0,0,0,1.35425,1.21003
Size,Small(5-15),Floyd-Warshall,32,32,100,1.25225e-05,9.448e-06,7.69028e-06,3.273e-06,3.9716e-05,8.53145,5.26777,8.03704,1.41999,39.4356,1,1,0,1,1,32,32,100,0,0,0,3.8898,3.57693
Size,Medium(16-50),ACO,28,28,100,0.00826414,0.00278112,0.011804,0.000290728,0.0425987,14.4262,7.64668,15.6144,1.26164,63.5271,23.8929,21,6.38827,21,44,28,19,67.8571,24.8792,220.305,2.73754,658.469,386.916
Size,Medium(16-50),Dijkstra,28,28,100,9.18086e-06,6.0135e-06,7.33671e-06,2.022e-06,3.1607e-05,11.6887,6.25202,13.9108,1.26164,63.5271,1,1,0,1,1,28,28,100,0,0,0,1,1
