TestName,Vertices,Edges,Time,PathLength,FoundPath,Iterations,PathSequence
test_0_small_5v_d30,5,4,4.922e-06,2.40417,true,1,"B->D"
test_1_small_5v_d60,5,6,3.823e-06,7.9216,true,1,"C->B->A"
test_2_small_5v_d90,5,9,7.526e-06,1.41999,true,1,"C->A"
test_3_small_7v_d30,7,6,5.142e-06,23.7873,true,1,"E->A->B->F"
test_4_small_7v_d60,7,12,6.343e-06,5.04779,true,1,"E->D"
test_5_small_7v_d90,7,18,4.712e-06,8.00382,true,1,"A->B->G"
test_6_small_9v_d30,9,10,7.975e-06,8.92421,true,1,"I->F"
test_7_small_9v_d60,9,21,9.094e-06,5.10881,true,1,"A->C"
test_8_small_9v_d90,9,32,6.976e-06,4.13799,true,1,"C->I"
test_9_small_11v_d30,11,16,1.1496e-05,13.1253,true,1,"B->D->F"
test_10_small_11v_d60,11,33,1.0891e-05,3.52695,true,1,"J->G"
test_11_small_11v_d90,11,49,8.645e-06,4.92106,true,1,"F->A"
test_12_small_13v_d30,13,23,1.8544e-05,9.8907,true,1,"F->G->K"
test_13_small_13v_d60,13,46,1.4438e-05,7.75618,true,1,"B->L->A->F"
test_14_small_13v_d90,13,70,1.2293e-05,3.46066,true,1,"G->K"
test_15_small_15v_d30,15,31,2.1955e-05,3.77,true,1,"A->B"
test_16_small_15v_d60,15,63,2.2734e-05,3.56586,true,1,"I->A"
test_17_small_15v_d90,15,94,1.5757e-05,4.77126,true,1,"L->K->N"
test_18_medium_16v_d40,16,48,1.8041e-05,7.97881,true,1,"A->K->G->O->E"
test_19_medium_16v_d80,16,96,3.4412e-05,4.96929,true,1,"M->K"
test_20_medium_21v_d40,21,84,3.9913e-05,5.94795,true,1,"P->F->O->C"
test_21_medium_21v_d80,21,168,3.0636e-05,5.56732,true,1,"E->C->L"
test_22_medium_26v_d40,26,130,4.9198e-05,4.19497,true,1,"K->L"
test_23_medium_26v_d80,26,260,7.703e-05,1.26164,true,1,"L->F"
test_24_medium_31v_d40,31,186,9.9223e-05,3.11601,true,1,"O->D->T"
test_25_medium_31v_d80,31,372,7.2538e-05,5.34947,true,1,"M->F->H"
test_26_medium_36v_d40,36,252,0.000151318,4.03064,true,1,"V29->I->Y"
test_27_medium_36v_d80,36,504,0.000120334,4.2297,true,1,"F->Y->P"
test_28_medium_41v_d40,41,328,0.000154279,5.18152,true,1,"A->H"
test_29_medium_41v_d80,41,656,0.000211673,3.79451,true,1,"V27->V38->H"
test_30_medium_46v_d40,46,414,0.000277097,5.03277,true,1,"I->C"
test_31_medium_46v_d80,46,828,0.00029677,4.21151,true,1,"V38->M->V43->I"
test_32_big_51v_d40,51,510,0.000560207,4.53104,true,1,"W->V39->G"
test_33_big_56v_d40,56,616,0.000547401,4.20339,true,1,"J->V46->V->G"
test_34_big_61v_d40,61,732,0.000362981,4.66708,true,1,"D->U->V34"
test_35_big_66v_d40,66,858,0.000769212,4.03515,true,1,"L->V53->V50->V47"
test_36_big_71v_d40,71,994,0.000669358,4.77598,true,1,"V36->V70->X"
test_37_big_76v_d40,76,1140,0.00102883,2.71591,true,1,"V35->V38->V51"
test_38_big_81v_d40,81,1296,0.00104506,3.71844,true,1,"A->S"
test_39_big_86v_d40,86,1462,0.00143816,4.17987,true,1,"H->V56->V78->V65"
test_40_big_91v_d40,91,1638,0.00150286,4.46565,true,1,"V74->V47->V62->V80"
test_41_big_96v_d40,96,1824,0.00176145,5.75429,true,1,"V91->X->L->V78"
test_42_star_6v,6,5,3.566e-06,12.1351,true,1,"C->A->D"
test_43_star_10v,10,9,9.644e-06,7.90663,true,1,"C->A->G"
test_44_star_14v,14,13,1.4566e-05,8.75953,true,1,"J->A->K"
test_45_star_18v,18,17,1.4584e-05,7.80596,true,1,"E->A->C"
test_46_path_8v,8,7,5.976e-06,39.4356,true,1,"B->C->D->E->F->G->H"
test_47_path_13v,13,12,1.1404e-05,6.18734,true,1,"B->A"
test_48_path_18v,18,17,1.3008e-05,52.4782,true,1,"M->L->K->J->I->H->G->F->E"
test_49_path_23v,23,22,2.0323e-05,63.5271,true,1,"S->R->Q->P->O->N->M->L->K->J->I->H->G"
test_50_grid_3x3,9,12,8.076e-06,13.1169,true,1,"G->D->A"
test_51_grid_3x4,12,17,1.1459e-05,4.288,true,1,"H->L"
test_52_grid_3x5,15,22,2.0681e-05,27.5009,true,1,"O->J->I->H->G->L->K"
test_53_grid_3x6,18,27,1.8325e-05,11.6617,true,1,"R->Q->K->J"
test_54_grid_4x3,12,17,1.3247e-05,5.42672,true,1,"G->H"
test_55_grid_4x4,16,24,1.7894e-05,16.0569,true,1,"O->K->G->F"
test_56_grid_4x5,20,31,2.3421e-05,6.55608,true,1,"R->S->N"
test_57_grid_4x6,24,38,2.8692e-05,11.8197,true,1,"H->I->J->K->E"
test_58_grid_5x3,15,22,1.7701e-05,15.134,true,1,"B->E->F"
test_59_grid_5x4,20,31,2.4311e-05,13.3772,true,1,"J->K->G->H->D"
test_60_grid_5x5,25,40,3.0416e-05,12.7641,true,1,"E->D->I->N"
test_61_grid_5x6,30,49,6.2903e-05,21.637,true,1,"K->J->I->O->U"
test_62_grid_6x3,18,27,1.9993e-05,1.61734,true,1,"C->F"
test_63_grid_6x4,24,38,2.7684e-05,16.4253,true,1,"T->S->R->Q"
test_64_grid_6x5,30,49,6.5369e-05,18.2115,true,1,"G->L->Q->V->W->V28->V29"
test_65_grid_6x6,36,60,5.3012e-05,8.47903,true,1,"L->K"
test_66_complete_5v,5,10,4.19e-06,3.1794,true,1,"A->B"
test_67_complete_8v,8,28,6.215e-06,2.72941,true,1,"D->H->C"
test_68_complete_11v,11,55,9.561e-06,2.86248,true,1,"K->D->I"
test_69_complete_14v,14,91,1.4896e-05,2.80065,true,1,"F->K"
test_70_large_110v_d20,110,1199,0.00371452,6.60183,true,1,"V82->I->V57->V29"
test_71_large_110v_d35,110,2098,0.00243348,3.04353,true,1,"Z->V45->V65"
test_72_large_110v_d50,110,2997,0.00287853,4.06056,true,1,"V72->O->V43->T"
test_73_large_120v_d20,120,1428,0.00277565,6.06486,true,1,"V71->V70->P->V31"
test_74_large_120v_d35,120,2499,0.00353663,4.04929,true,1,"C->S->V91->V58"
test_75_large_120v_d50,120,3570,0.00322755,2.1667,true,1,"V107->V37->V40"
test_76_large_130v_d20,130,1677,0.00338596,5.99075,true,1,"V92->C->X->V74"
test_77_large_130v_d35,130,2934,0.00539996,4.50361,true,1,"V48->V96->V56"
test_78_large_130v_d50,130,4192,0.00571884,4.64619,true,1,"V35->V107->V92->V126"
test_79_large_140v_d20,140,1946,0.00525251,2.35338,true,1,"V33->V102->V96"
test_80_large_140v_d35,140,3405,0.00545577,4.46825,true,1,"T->V77->V49->A"
test_81_large_140v_d50,140,4865,0.00516759,4.06443,true,1,"V70->V89->V134"
test_82_large_150v_d20,150,2235,0.00539947,1.93232,true,1,"V32->V124"
test_83_large_150v_d35,150,3911,0.00478695,4.31643,true,1,"J->V103->V53->V66"
test_84_large_150v_d50,150,5587,0.00560342,3.44211,true,1,"V52->V37->A"
test_85_large_160v_d20,160,2544,0.00483255,4.53973,true,1,"V47->V62->O->V139"
test_86_large_160v_d35,160,4452,0.0062136,3.49832,true,1,"V50->V87->V101"
test_87_large_160v_d50,160,6360,0.00562726,3.41333,true,1,"V90->V87->V77"
test_88_large_170v_d20,170,2873,0.0080044,4.4315,true,1,"V128->V119->V144->V129"
test_89_large_170v_d35,170,5027,0.00783523,4.8288,true,1,"V67->V49->V121->V136"
test_90_large_170v_d50,170,7182,0.00894131,3.33816,true,1,"C->V169->V61"
test_91_large_180v_d20,180,3222,0.00820598,5.82805,true,1,"W->R->Q"
test_92_large_180v_d35,180,5638,0.0084184,3.7531,true,1,"V102->V130->V179"
test_93_large_180v_d50,180,8055,0.00829735,3.35101,true,1,"V113->V179->V115->V41"
test_94_large_190v_d20,190,3591,0.011257,4.46538,true,1,"V189->Q"
test_95_large_190v_d35,190,6284,0.00900426,4.27384,true,1,"V95->V93->V75->V148"
test_96_large_190v_d50,190,8977,0.0101353,1.72758,true,1,"V80->V159"
test_97_large_200v_d20,200,3980,0.010545,2.39292,true,1,"V138->V70->V164"
test_98_large_200v_d35,200,6965,0.0102376,4.52926,true,1,"V56->V194->V163->O"
test_99_large_200v_d50,200,9950,0.0108556,3.71963,true,1,"H->V119->V144->V52"
